County,Region,State,Above or Below?,Avg. Adult Obesity (% of pop),Avg. Adult Smokers (% of pop),Avg. Food Insecure (% of pop),Avg. Physically Inactive (% of pop),Avg. Regional Obesity Rate,Latitude (generated),Longitude (generated)
Cedar,Midwest,Missouri,2% above,34%,22%,17%,32%,32%,37.7342,-93.8397
Sherman,Midwest,Nebraska,2% above,34%,15%,12%,30%,32%,41.2257,-98.9762
Merrick,Midwest,Nebraska,2% above,34%,16%,12%,28%,32%,41.1371,-98.0739
Allen,Midwest,Kansas,2% above,34%,17%,15%,30%,32%,37.8864,-95.2995
Dakota,Midwest,Nebraska,2% above,34%,18%,12%,29%,32%,42.4022,-96.5708
Iron,Midwest,Missouri,2% above,34%,24%,18%,32%,32%,37.5072,-90.6587
Emmet,Midwest,Iowa,3% above,35%,16%,11%,30%,32%,43.3757,-94.6784
Jackson,Midwest,Kansas,3% above,35%,16%,13%,30%,32%,39.4411,-95.8028
Ralls,Midwest,Missouri,3% above,35%,19%,13%,29%,32%,39.5072,-91.5365
Clinton,Midwest,Missouri,3% above,35%,19%,15%,27%,32%,39.6007,-94.4041
Clayton,Midwest,Iowa,3% above,35%,16%,13%,29%,32%,42.8621,-91.3526
Nemaha,Midwest,Nebraska,3% above,35%,16%,14%,26%,32%,40.4105,-95.863
Portage,Midwest,Wisconsin,3% above,35%,16%,12%,20%,32%,44.4745,-89.475
Love,Midwest,Oklahoma,3% above,35%,18%,14%,33%,32%,33.8942,-97.3498
Scotland,Midwest,Missouri,3% above,35%,21%,14%,31%,32%,40.4469,-92.1481
Miller,Midwest,Missouri,3% above,35%,23%,17%,29%,32%,38.2239,-92.4463
Muskogee,Midwest,Oklahoma,3% above,35%,23%,19%,31%,32%,35.5593,-95.4202
Kewaunee,Midwest,Wisconsin,3% above,35%,14%,10%,30%,32%,44.5033,-87.6245
Adams,Midwest,Illinois,3% above,35%,16%,13%,24%,32%,39.9788,-91.1866
Elk,Midwest,Kansas,3% above,35%,17%,15%,27%,32%,37.4531,-96.2441
Alfalfa,Midwest,Oklahoma,3% above,35%,19%,14%,40%,32%,36.7313,-98.3251
Crawford,Midwest,Kansas,3% above,35%,20%,17%,27%,32%,37.5054,-94.8526
Audrain,Midwest,Missouri,3% above,35%,21%,16%,27%,32%,39.202,-91.7624
Wayne,Midwest,Missouri,3% above,35%,24%,17%,35%,32%,37.1184,-90.5006
Williams,Midwest,North Dakota,3% above,35%,21%,5%,30%,32%,48.2972,-103.4371
Bates,Midwest,Missouri,3% above,35%,21%,16%,32%,32%,38.2475,-94.3433
Cherokee,Midwest,Oklahoma,3% above,35%,26%,18%,28%,32%,35.9006,-95.0432
Guthrie,Midwest,Iowa,3% above,35%,16%,12%,31%,32%,41.6815,-94.5123
Harper,Midwest,Oklahoma,3% above,35%,18%,12%,36%,32%,36.8014,-99.6494
Seward,Midwest,Kansas,3% above,35%,18%,8%,27%,32%,37.1844,-100.8516
Finney,Midwest,Kansas,3% above,35%,18%,9%,22%,32%,38.0013,-100.8836
Comanche,Midwest,Oklahoma,3% above,35%,22%,19%,30%,32%,34.6414,-98.4841
Bryan,Midwest,Oklahoma,3% above,35%,23%,17%,32%,32%,33.9223,-96.246
Phelps,Midwest,Nebraska,3% above,35%,15%,11%,27%,32%,40.5215,-99.4118
Davison,Midwest,South Dakota,3% above,35%,16%,12%,24%,32%,43.6763,-98.1462
Frontier,Midwest,Nebraska,3% above,35%,16%,12%,28%,32%,40.532,-100.3823
Louisa,Midwest,Iowa,3% above,35%,17%,10%,29%,32%,41.2473,-91.2998
Charles Mix,Midwest,South Dakota,3% above,35%,21%,14%,26%,32%,43.1697,-98.475
Ringgold,Midwest,Iowa,3% above,35%,17%,13%,30%,32%,40.7361,-94.2434
Montgomery,Midwest,Kansas,3% above,35%,20%,17%,27%,32%,37.1913,-95.7428
Buchanan,Midwest,Missouri,3% above,35%,22%,16%,28%,32%,39.6759,-94.8051
Nowata,Midwest,Oklahoma,3% above,35%,22%,16%,30%,32%,36.7972,-95.6211
Morris,Midwest,Kansas,3% above,35%,16%,13%,29%,32%,38.6985,-96.6403
Jefferson,Midwest,Nebraska,3% above,35%,16%,12%,32%,32%,40.1832,-97.1427
Pettis,Midwest,Missouri,3% above,35%,23%,16%,31%,32%,38.7213,-93.2813
Pierce,Midwest,Nebraska,3% above,35%,15%,11%,30%,32%,42.2696,-97.6014
Cooper,Midwest,Missouri,3% above,35%,22%,16%,26%,32%,38.8709,-92.7894
Dent,Midwest,Missouri,3% above,35%,22%,17%,34%,32%,37.6036,-91.4819
Kendall,Midwest,Illinois,3% above,35%,14%,8%,22%,32%,41.5904,-88.4291
Gage,Midwest,Nebraska,3% above,35%,17%,13%,30%,32%,40.2659,-96.69
Brule,Midwest,South Dakota,3% above,35%,17%,12%,24%,32%,43.7182,-99.101
Barton,Midwest,Kansas,3% above,35%,18%,12%,28%,32%,38.4839,-98.7568
Muscatine,Midwest,Iowa,3% above,35%,18%,11%,27%,32%,41.47,-91.0769
Ray,Midwest,Missouri,3% above,35%,19%,15%,33%,32%,39.3318,-93.9855
Jefferson,Midwest,Oklahoma,3% above,35%,21%,16%,34%,32%,34.0703,-97.8401
Mayes,Midwest,Oklahoma,3% above,35%,23%,17%,35%,32%,36.2892,-95.2206
Benson,Midwest,North Dakota,3% above,35%,32%,15%,32%,32%,48.1094,-99.4802
Creek,Midwest,Oklahoma,4% above,36%,22%,16%,35%,32%,35.9083,-96.3245
Latimer,Midwest,Oklahoma,4% above,36%,22%,19%,34%,32%,34.8722,-95.2527
McIntosh,Midwest,Oklahoma,4% above,36%,22%,18%,38%,32%,35.3474,-95.6632
Garvin,Midwest,Oklahoma,4% above,36%,21%,16%,35%,32%,34.6793,-97.2476
Haskell,Midwest,Oklahoma,4% above,36%,22%,17%,38%,32%,35.2553,-95.1327
Wright,Midwest,Missouri,4% above,36%,25%,18%,31%,32%,37.2725,-92.4725
Cherokee,Midwest,Iowa,4% above,36%,15%,12%,30%,32%,42.742,-95.6238
Beaver,Midwest,Oklahoma,4% above,36%,16%,11%,31%,32%,36.7557,-100.4789
Richardson,Midwest,Nebraska,4% above,36%,17%,14%,33%,32%,40.1309,-95.7153
Cotton,Midwest,Oklahoma,4% above,36%,20%,15%,36%,32%,34.2753,-98.3742
Bollinger,Midwest,Missouri,4% above,36%,22%,16%,34%,32%,37.3278,-90.0044
Marion,Midwest,Missouri,4% above,36%,22%,16%,30%,32%,39.8028,-91.607
Clay,Midwest,Kansas,4% above,36%,15%,14%,28%,32%,39.35,-97.1652
Decatur,Midwest,Kansas,4% above,36%,17%,12%,28%,32%,39.7845,-100.4603
Garfield,Midwest,Oklahoma,4% above,36%,19%,15%,33%,32%,36.3798,-97.783
Marion,Midwest,Illinois,4% above,36%,17%,16%,33%,32%,38.6548,-88.9187
Coal,Midwest,Oklahoma,4% above,36%,23%,18%,36%,32%,34.5929,-96.3021
Atoka,Midwest,Oklahoma,4% above,36%,23%,18%,30%,32%,34.4595,-95.9621
Hughes,Midwest,Oklahoma,4% above,36%,24%,19%,35%,32%,35.0232,-96.2897
Seminole,Midwest,Oklahoma,4% above,36%,26%,19%,39%,32%,35.1649,-96.6089
Bourbon,Midwest,Kansas,4% above,36%,19%,16%,28%,32%,37.8543,-94.8482
Mercer,Midwest,Missouri,4% above,36%,20%,15%,27%,32%,40.4226,-93.5657
Lewis,Midwest,Missouri,4% above,36%,21%,15%,35%,32%,40.1015,-91.7271
Madison,Midwest,Missouri,4% above,36%,22%,16%,33%,32%,37.4749,-90.3456
Traill,Midwest,North Dakota,4% above,36%,17%,7%,26%,32%,47.4553,-97.1645
Osage,Midwest,Kansas,4% above,36%,17%,14%,29%,32%,38.6542,-95.7293
Daviess,Midwest,Missouri,4% above,36%,22%,15%,30%,32%,39.9617,-93.9832
Caddo,Midwest,Oklahoma,4% above,36%,23%,17%,37%,32%,35.2039,-98.3564
Labette,Midwest,Kansas,4% above,36%,20%,16%,33%,32%,37.1903,-95.2979
Scott,Midwest,Missouri,4% above,36%,23%,17%,34%,32%,37.0569,-89.5778
Franklin,Midwest,Nebraska,4% above,36%,16%,12%,32%,32%,40.18,-98.9526
Pottawatomie,Midwest,Oklahoma,4% above,36%,21%,17%,30%,32%,35.1821,-96.9595
Pontotoc,Midwest,Oklahoma,4% above,36%,22%,17%,34%,32%,34.7367,-96.6696
Osage,Midwest,Oklahoma,5% above,37%,21%,17%,31%,32%,36.5814,-96.4481
Butler,Midwest,Missouri,5% above,37%,23%,18%,29%,32%,36.7128,-90.3906
Bennett,Midwest,South Dakota,5% above,37%,29%,19%,27%,32%,43.1945,-101.6686
Grant,Midwest,Oklahoma,5% above,37%,16%,13%,41%,32%,36.8036,-97.7862
Washington,Midwest,Missouri,5% above,37%,25%,18%,33%,32%,37.9701,-90.868
Barber,Midwest,Kansas,5% above,37%,17%,13%,28%,32%,37.2356,-98.6754
Cowley,Midwest,Kansas,5% above,37%,20%,15%,30%,32%,37.2332,-96.8375
Harmon,Midwest,Oklahoma,5% above,37%,20%,16%,36%,32%,34.7829,-99.8603
Ottawa,Midwest,Kansas,5% above,37%,16%,12%,30%,32%,39.134,-97.6509
Dade,Midwest,Missouri,5% above,37%,22%,16%,33%,32%,37.4384,-93.85
Fayette,Midwest,Illinois,5% above,37%,17%,15%,24%,32%,38.98,-89.0318
Union,Midwest,Iowa,5% above,37%,18%,13%,27%,32%,41.0298,-94.2429
Lincoln,Midwest,Oklahoma,5% above,37%,20%,16%,39%,32%,35.6991,-96.8806
Vermilion,Midwest,Illinois,5% above,37%,18%,17%,27%,32%,40.1783,-87.7363
Pottawattamie,Midwest,Iowa,5% above,37%,19%,12%,30%,32%,41.3347,-95.5518
Okmulgee,Midwest,Oklahoma,5% above,37%,23%,19%,35%,32%,35.6142,-95.9529
Sequoyah,Midwest,Oklahoma,5% above,37%,24%,19%,34%,32%,35.4655,-94.7664
Hamilton,Midwest,Kansas,6% above,38%,19%,9%,22%,32%,38.0149,-101.793
Todd,Midwest,South Dakota,6% above,38%,38%,23%,29%,32%,43.2001,-100.7209
Wyandotte,Midwest,Kansas,6% above,38%,23%,18%,33%,32%,39.0949,-94.7579
Blaine,Midwest,Oklahoma,6% above,38%,18%,15%,36%,32%,35.8587,-98.4196
Saline,Midwest,Missouri,6% above,38%,23%,16%,29%,32%,39.1699,-93.1932
Adair,Midwest,Oklahoma,6% above,38%,29%,19%,38%,32%,35.9006,-94.6623
Murray,Midwest,Oklahoma,6% above,38%,21%,15%,33%,32%,34.4847,-97.1165
Fayette,Midwest,Iowa,7% above,39%,17%,12%,29%,32%,42.8639,-91.8442
Woodward,Midwest,Oklahoma,7% above,39%,19%,13%,29%,32%,36.4904,-99.2829
Cherokee,Midwest,Kansas,7% above,39%,20%,16%,33%,32%,37.1699,-94.8463
DeKalb,Midwest,Missouri,7% above,39%,20%,16%,33%,32%,39.8962,-94.4047
Corson,Midwest,South Dakota,7% above,39%,35%,21%,29%,32%,45.7135,-101.1566
Sioux,Midwest,North Dakota,7% above,39%,40%,16%,31%,32%,46.1869,-100.8971
Caldwell,Midwest,Missouri,7% above,39%,20%,16%,32%,32%,39.6568,-93.9822
Johnston,Midwest,Oklahoma,7% above,39%,23%,18%,36%,32%,34.3082,-96.6703
Le Flore,Midwest,Oklahoma,7% above,39%,24%,19%,33%,32%,34.9461,-94.6876
Dewey,Midwest,South Dakota,8% above,40%,32%,22%,31%,32%,45.1005,-100.9055
Thurston,Midwest,Nebraska,9% above,41%,31%,18%,30%,32%,42.1468,-96.5714
Menominee,Midwest,Wisconsin,9% above,41%,32%,20%,31%,32%,44.9899,-88.7347
Rolette,Midwest,North Dakota,9% above,41%,38%,18%,34%,32%,48.7669,-99.8544
Washita,Midwest,Oklahoma,9% above,41%,19%,15%,34%,32%,35.2812,-98.9941
Buffalo,Midwest,South Dakota,10% above,42%,37%,24%,31%,32%,44.0651,-99.2264
Ziebach,Midwest,South Dakota,11% above,43%,36%,20%,28%,32%,44.994,-101.7505
Shannon,Midwest,South Dakota,13% above,45%,41%,26%,24%,32%,43.3559,-102.5556
New York,Northeast,New York,15% below,15%,13%,15%,18%,30%,40.7882,-73.9605
Montgomery,Northeast,Maryland,11% below,19%,8%,8%,18%,30%,39.1442,-77.2388
Westchester,Northeast,New York,10% below,20%,11%,9%,20%,30%,41.1249,-73.7718
Barnstable,Northeast,Massachusetts,10% below,20%,12%,10%,17%,30%,41.7993,-69.9956
Norfolk,Northeast,Massachusetts,10% below,20%,12%,9%,19%,30%,42.1571,-71.1978
Bergen,Northeast,New Jersey,10% below,20%,12%,10%,23%,30%,40.9485,-74.0323
Morris,Northeast,New Jersey,10% below,20%,13%,8%,20%,30%,40.8677,-74.5721
Suffolk,Northeast,Massachusetts,9% below,21%,15%,16%,20%,30%,42.301,-71.0926
Nantucket,Northeast,Massachusetts,9% below,21%,15%,9%,18%,30%,41.3157,-70.0042
Fairfield,Northeast,Connecticut,9% below,21%,14%,11%,20%,30%,41.3271,-73.3274
Chittenden,Northeast,Vermont,9% below,21%,12%,13%,15%,30%,44.4425,-73.0527
Rockland,Northeast,New York,9% below,21%,14%,10%,24%,30%,41.1589,-74.0653
Monroe,Northeast,Indiana,9% below,21%,20%,18%,21%,30%,39.1741,-86.5267
Somerset,Northeast,New Jersey,9% below,21%,11%,8%,20%,30%,40.5669,-74.6246
Hunterdon,Northeast,New Jersey,9% below,21%,12%,7%,18%,30%,40.5639,-74.9125
Bristol,Northeast,Rhode Island,9% below,21%,13%,12%,22%,30%,41.702,-71.2699
Hampshire,Northeast,Massachusetts,9% below,21%,15%,11%,16%,30%,42.3699,-72.7142
Dukes,Northeast,Massachusetts,8% below,22%,15%,10%,20%,30%,41.3918,-70.6209
Franklin,Northeast,Massachusetts,8% below,22%,15%,11%,18%,30%,42.519,-72.5621
Newport,Northeast,Rhode Island,8% below,22%,14%,14%,19%,30%,41.5658,-71.1692
Cumberland,Northeast,Maine,8% below,22%,12%,14%,16%,30%,43.85,-70.4132
District of Columbia,Northeast,District of Columbia,8% below,22%,16%,15%,17%,30%,38.894,-76.9882
Kings,Northeast,New York,8% below,22%,16%,20%,26%,30%,40.6553,-73.9391
Howard,Northeast,Maryland,7% below,23%,10%,8%,18%,30%,39.236,-76.8932
Middlesex,Northeast,Massachusetts,7% below,23%,12%,9%,21%,30%,42.4472,-71.2884
Nassau,Northeast,New York,7% below,23%,12%,7%,26%,30%,40.7554,-73.573
Monmouth,Northeast,New Jersey,7% below,23%,14%,10%,20%,30%,40.2791,-74.1884
Suffolk,Northeast,New York,7% below,23%,14%,7%,22%,30%,40.9086,-72.9176
Windsor,Northeast,Vermont,7% below,23%,14%,12%,19%,30%,43.5932,-72.5478
Windham,Northeast,Vermont,7% below,23%,16%,13%,19%,30%,42.9961,-72.7339
Litchfield,Northeast,Connecticut,7% below,23%,13%,11%,21%,30%,41.7615,-73.2599
Leelanau,Northeast,Michigan,7% below,23%,14%,12%,22%,30%,44.9933,-85.7066
Berkshire,Northeast,Massachusetts,7% below,23%,15%,12%,20%,30%,42.3939,-73.2014
Washington,Northeast,Vermont,7% below,23%,14%,12%,18%,30%,44.2623,-72.6134
Carroll,Northeast,New Hampshire,7% below,23%,16%,10%,19%,30%,43.882,-71.277
Washtenaw,Northeast,Michigan,7% below,23%,14%,15%,16%,30%,42.2533,-83.8375
Addison,Northeast,Vermont,6% below,24%,13%,12%,18%,30%,44.0288,-73.078
Middlesex,Northeast,Connecticut,6% below,24%,13%,11%,21%,30%,41.4527,-72.5231
Rensselaer,Northeast,New York,6% below,24%,15%,13%,23%,30%,42.713,-73.4898
Tompkins,Northeast,New York,6% below,24%,15%,14%,25%,30%,42.4439,-76.4727
Queens,Northeast,New York,6% below,24%,12%,13%,28%,30%,40.7043,-73.8196
Knox,Northeast,Maine,6% below,24%,14%,14%,19%,30%,44.1416,-69.1941
Hancock,Northeast,Maine,6% below,24%,18%,16%,19%,30%,44.7441,-68.3219
Washington,Northeast,Rhode Island,6% below,24%,13%,12%,20%,30%,41.4791,-71.6061
Chester,Northeast,Pennsylvania,6% below,24%,14%,10%,17%,30%,39.9818,-75.7096
Hudson,Northeast,New Jersey,6% below,24%,15%,14%,25%,30%,40.7337,-74.0641
Montgomery,Northeast,Pennsylvania,6% below,24%,16%,11%,19%,30%,40.2123,-75.3632
Middlesex,Northeast,New Jersey,6% below,24%,12%,10%,24%,30%,40.4306,-74.4006
Tolland,Northeast,Connecticut,6% below,24%,14%,11%,18%,30%,41.8121,-72.3192
Lincoln,Northeast,Maine,6% below,24%,14%,13%,21%,30%,44.0785,-69.5866
Passaic,Northeast,New Jersey,6% below,24%,16%,12%,25%,30%,41.0117,-74.308
Essex,Northeast,Massachusetts,6% below,24%,15%,10%,21%,30%,42.6513,-71.0076
Mercer,Northeast,New Jersey,6% below,24%,16%,12%,22%,30%,40.2809,-74.6827
Union,Northeast,New Jersey,5% below,25%,15%,12%,25%,30%,40.6656,-74.2739
Broome,Northeast,New York,5% below,25%,16%,14%,24%,30%,42.2087,-75.8619
Bennington,Northeast,Vermont,5% below,25%,15%,14%,20%,30%,43.0268,-73.1364
Dutchess,Northeast,New York,5% below,25%,13%,10%,21%,30%,41.7622,-73.728
Lamoille,Northeast,Vermont,5% below,25%,17%,13%,18%,30%,44.6012,-72.6366
Cheshire,Northeast,New Hampshire,5% below,25%,17%,11%,20%,30%,42.9472,-72.2973
Tippecanoe,Northeast,Indiana,5% below,25%,21%,17%,25%,30%,40.3925,-86.8937
Hamilton,Northeast,Indiana,5% below,25%,13%,10%,19%,30%,40.0846,-86.0524
Montgomery,Northeast,New York,5% below,25%,16%,14%,21%,30%,42.9109,-74.4198
Delaware,Northeast,Pennsylvania,5% below,25%,19%,14%,21%,30%,39.9362,-75.3767
Columbia,Northeast,New York,5% below,25%,14%,11%,25%,30%,42.2448,-73.6407
Yates,Northeast,New York,5% below,25%,16%,12%,24%,30%,42.6109,-77.1306
Centre,Northeast,Pennsylvania,5% below,25%,18%,15%,19%,30%,40.9728,-77.8043
Sussex,Northeast,New Jersey,4% below,26%,15%,9%,25%,30%,41.1285,-74.6997
Otsego,Northeast,New York,4% below,26%,16%,12%,21%,30%,42.6115,-74.9894
Saratoga,Northeast,New York,4% below,26%,14%,10%,23%,30%,43.0872,-73.8458
Ottawa,Northeast,Michigan,4% below,26%,15%,11%,19%,30%,42.9875,-86.0057
Rockingham,Northeast,New Hampshire,4% below,26%,16%,9%,20%,30%,43.0068,-71.068
Franklin,Northeast,Indiana,4% below,26%,21%,14%,27%,30%,39.3971,-85.0571
Delaware,Northeast,New York,4% below,26%,15%,13%,25%,30%,42.1831,-74.9537
Sagadahoc,Northeast,Maine,4% below,26%,16%,13%,20%,30%,43.9346,-69.7952
Allegheny,Northeast,Pennsylvania,4% below,26%,19%,14%,23%,30%,40.4317,-80.0043
Oakland,Northeast,Michigan,4% below,26%,14%,14%,20%,30%,42.6613,-83.387
Warren,Northeast,New York,4% below,26%,14%,12%,21%,30%,43.5152,-73.9062
Schenectady,Northeast,New York,4% below,26%,15%,13%,23%,30%,42.8329,-74.0442
Orange,Northeast,New York,4% below,26%,15%,10%,24%,30%,41.3876,-74.3315
Grand Isle,Northeast,Vermont,4% below,26%,16%,11%,19%,30%,44.7892,-73.2928
Worcester,Northeast,Massachusetts,4% below,26%,16%,11%,23%,30%,42.3658,-71.9578
Orange,Northeast,Vermont,4% below,26%,16%,12%,21%,30%,43.9959,-72.4402
New Haven,Northeast,Connecticut,4% below,26%,14%,14%,23%,30%,41.4087,-72.9095
Richmond,Northeast,New York,4% below,26%,15%,11%,31%,30%,40.5726,-74.1446
Wyoming,Northeast,New York,4% below,26%,15%,12%,24%,30%,42.6952,-78.2099
Bucks,Northeast,Pennsylvania,4% below,26%,16%,10%,22%,30%,40.3311,-75.1338
Plymouth,Northeast,Massachusetts,4% below,26%,17%,10%,25%,30%,41.9678,-70.8615
Cumberland,Northeast,Pennsylvania,4% below,26%,17%,12%,18%,30%,40.1368,-77.3185
Lake,Northeast,Ohio,4% below,26%,18%,13%,25%,30%,41.7107,-81.2423
Hartford,Northeast,Connecticut,3% below,27%,13%,13%,23%,30%,41.7924,-72.744
Erie,Northeast,New York,3% below,27%,15%,14%,23%,30%,42.7691,-78.6668
New London,Northeast,Connecticut,3% below,27%,14%,13%,22%,30%,41.4966,-71.9364
Grafton,Northeast,New Hampshire,3% below,27%,17%,11%,18%,30%,43.9691,-71.7378
Ocean,Northeast,New Jersey,3% below,27%,17%,11%,27%,30%,39.8409,-74.2864
New Castle,Northeast,Delaware,3% below,27%,17%,12%,23%,30%,39.5657,-75.6751
Atlantic,Northeast,New Jersey,3% below,27%,19%,15%,26%,30%,39.5098,-74.6941
Schoharie,Northeast,New York,3% below,27%,15%,12%,26%,30%,42.5925,-74.4362
York,Northeast,Maine,3% below,27%,16%,14%,20%,30%,43.4408,-70.6572
Burlington,Northeast,New Jersey,3% below,27%,14%,11%,24%,30%,39.8671,-74.6832
Monroe,Northeast,Pennsylvania,3% below,27%,19%,12%,25%,30%,41.033,-75.292
Delaware,Northeast,Ohio,3% below,27%,14%,10%,20%,30%,40.2856,-82.9997
Warren,Northeast,New Jersey,3% below,27%,15%,10%,24%,30%,40.8438,-74.9606
Cape May,Northeast,New Jersey,3% below,27%,17%,14%,23%,30%,39.1268,-74.8257
Putnam,Northeast,New York,3% below,27%,13%,6%,22%,30%,41.4237,-73.7555
Albany,Northeast,New York,3% below,27%,14%,13%,22%,30%,42.6169,-73.977
Monroe,Northeast,New York,3% below,27%,15%,14%,21%,30%,43.1531,-77.6857
Lewis,Northeast,New York,3% below,27%,15%,13%,22%,30%,43.8336,-75.4915
Kent,Northeast,Maryland,3% below,27%,14%,13%,26%,30%,39.2185,-76.1421
Hillsborough,Northeast,New Hampshire,3% below,27%,15%,10%,22%,30%,42.953,-71.7203
Essex,Northeast,New Jersey,3% below,27%,17%,18%,27%,30%,40.7945,-74.2539
Warren,Northeast,Indiana,3% below,27%,17%,13%,26%,30%,40.3028,-87.3887
Wayne,Northeast,Ohio,3% below,27%,19%,14%,26%,30%,40.8257,-81.8872
Jefferson,Northeast,New York,3% below,27%,16%,15%,27%,30%,44.0407,-75.8085
Allegany,Northeast,Maryland,2% below,28%,17%,14%,29%,30%,39.5807,-78.5952
Elk,Northeast,Pennsylvania,2% below,28%,18%,12%,27%,30%,41.4107,-78.757
Essex,Northeast,Vermont,2% below,28%,19%,14%,27%,30%,44.6823,-71.7338
Geauga,Northeast,Ohio,2% below,28%,16%,11%,27%,30%,41.5288,-81.1969
Providence,Northeast,Rhode Island,2% below,28%,16%,16%,26%,30%,41.8677,-71.5657
Dubois,Northeast,Indiana,2% below,28%,17%,11%,24%,30%,38.3651,-86.8769
Cameron,Northeast,Pennsylvania,2% below,28%,19%,15%,27%,30%,41.4116,-78.2044
Carroll,Northeast,Maryland,2% below,28%,13%,8%,22%,30%,39.5348,-77.0131
Queen Anne's,Northeast,Maryland,2% below,28%,14%,8%,23%,30%,39.0575,-75.9714
Kent,Northeast,Rhode Island,2% below,28%,15%,13%,23%,30%,41.6827,-71.6185
Cortland,Northeast,New York,2% below,28%,15%,14%,21%,30%,42.6006,-76.0718
Boone,Northeast,Indiana,2% below,28%,17%,12%,25%,30%,40.0509,-86.4686
Onondaga,Northeast,New York,2% below,28%,16%,14%,25%,30%,43.0228,-76.2029
Frederick,Northeast,Maryland,2% below,28%,12%,8%,20%,30%,39.4703,-77.3679
Washington,Northeast,Indiana,2% below,28%,21%,15%,30%,30%,38.6055,-86.097
Hamilton,Northeast,New York,2% below,28%,13%,11%,25%,30%,43.6856,-74.505
Grand Traverse,Northeast,Michigan,2% below,28%,17%,13%,21%,30%,44.7525,-85.6908
Warrick,Northeast,Indiana,2% below,28%,17%,11%,26%,30%,38.062,-87.2847
Rutland,Northeast,Vermont,2% below,28%,17%,14%,21%,30%,43.576,-73.0283
Anne Arundel,Northeast,Maryland,2% below,28%,13%,9%,23%,30%,38.9754,-76.6531
Ulster,Northeast,New York,2% below,28%,14%,12%,19%,30%,41.8791,-74.2028
Northampton,Northeast,Pennsylvania,2% below,28%,17%,11%,26%,30%,40.7524,-75.3992
Wells,Northeast,Indiana,2% below,28%,19%,13%,31%,30%,40.7426,-85.2027
Baltimore,Northeast,Maryland,2% below,28%,15%,13%,25%,30%,39.4587,-76.637
Franklin,Northeast,Vermont,2% below,28%,17%,12%,25%,30%,44.8257,-72.8735
Sullivan,Northeast,New Hampshire,2% below,28%,18%,10%,23%,30%,43.3649,-72.2372
Bristol,Northeast,Massachusetts,2% below,28%,19%,13%,27%,30%,41.7892,-71.2278
Holmes,Northeast,Ohio,2% below,28%,20%,14%,27%,30%,40.5598,-81.9225
Harford,Northeast,Maryland,2% below,28%,15%,10%,23%,30%,39.511,-76.2962
Emmet,Northeast,Michigan,2% below,28%,16%,15%,18%,30%,45.5315,-84.9213
Adams,Northeast,Ohio,2% below,28%,23%,19%,30%,30%,38.8204,-83.4795
Talbot,Northeast,Maryland,2% below,28%,14%,11%,22%,30%,38.762,-76.0336
Charlevoix,Northeast,Michigan,2% below,28%,17%,15%,21%,30%,45.2443,-85.059
Cattaraugus,Northeast,New York,2% below,28%,17%,14%,28%,30%,42.2766,-78.6848
Westmoreland,Northeast,Pennsylvania,2% below,28%,19%,12%,25%,30%,40.3607,-79.3848
Essex,Northeast,New York,2% below,29%,14%,13%,27%,30%,44.1475,-73.7487
Lehigh,Northeast,Pennsylvania,2% below,29%,18%,12%,22%,30%,40.6036,-75.584
Hampden,Northeast,Massachusetts,2% below,29%,18%,12%,26%,30%,42.1702,-72.6267
Greene,Northeast,Ohio,2% below,29%,18%,15%,27%,30%,39.7007,-83.8803
Portage,Northeast,Ohio,2% below,29%,20%,16%,24%,30%,41.1683,-81.1975
Allen,Northeast,Indiana,2% below,29%,20%,15%,24%,30%,41.0968,-85.0703
Marshall,Northeast,Indiana,2% below,29%,22%,13%,27%,30%,41.3315,-86.2622
Warren,Northeast,Ohio,1% below,29%,16%,12%,24%,30%,39.4248,-84.1653
St. Lawrence,Northeast,New York,1% below,29%,18%,15%,25%,30%,44.5333,-75.1606
Cuyahoga,Northeast,Ohio,1% below,29%,18%,19%,26%,30%,41.4559,-81.6805
Madison,Northeast,Ohio,1% below,29%,19%,14%,29%,30%,39.9016,-83.3992
Carroll,Northeast,Indiana,1% below,29%,20%,13%,33%,30%,40.5879,-86.5729
Livingston,Northeast,Michigan,1% below,29%,15%,11%,19%,30%,42.6027,-83.9111
Mercer,Northeast,Ohio,1% below,29%,16%,12%,29%,30%,40.5415,-84.629
Fulton,Northeast,New York,1% below,29%,17%,14%,25%,30%,43.1354,-74.427
Spencer,Northeast,Indiana,1% below,29%,18%,13%,29%,30%,37.9945,-87.0107
Butler,Northeast,Pennsylvania,1% below,29%,18%,11%,22%,30%,40.9272,-79.9263
Washington,Northeast,Pennsylvania,1% below,29%,19%,12%,27%,30%,40.2155,-80.2389
St. Joseph,Northeast,Indiana,1% below,29%,21%,16%,25%,30%,41.5981,-86.2736
Athens,Northeast,Ohio,1% below,29%,23%,21%,26%,30%,39.3556,-82.0716
Windham,Northeast,Connecticut,1% below,29%,15%,13%,24%,30%,41.8325,-71.9791
Medina,Northeast,Ohio,1% below,29%,16%,12%,24%,30%,41.132,-81.9285
Bronx,Northeast,New York,1% below,29%,19%,19%,29%,30%,40.856,-73.8664
Hamilton,Northeast,Ohio,1% below,29%,20%,19%,23%,30%,39.1671,-84.5575
Scott,Northeast,Indiana,1% below,29%,23%,16%,32%,30%,38.6962,-85.7482
Camden,Northeast,New Jersey,1% below,29%,15%,14%,27%,30%,39.8025,-74.9898
